,Missing Count,Missing Percentage
Geography,0,0.0
Geographic Area Name,0,0.0
Zipcode,0,0.0
Male,0,0.0
Female,0,0.0
Median age (years),23,2.2115384615384617
Under 5 years,0,0.0
5 to 9 years,0,0.0
10 to 14 years,0,0.0
15 to 19 years,0,0.0
20 to 24 years,0,0.0
25 to 34 years,0,0.0
35 to 44 years,0,0.0
45 to 54 years,0,0.0
55 to 59 years,0,0.0
60 to 64 years,0,0.0
65 to 74 years,0,0.0
75 to 84 years,0,0.0
85 years and over,0,0.0
Total housing units,0,0.0
Households Total,0,0.0
Households Mean income (dollars),39,3.75
Families - Median income (dollars),91,8.75
Families - Mean income (dollars),49,4.711538461538462
Married-couple families - Median income (dollars),97,9.326923076923077
Nonfamily households - Median income (dollars),200,19.230769230769234
Nonfamily households - Mean income (dollars),103,9.903846153846153
Total Workers 16 years and over,0,0.0
Workers Median age (years),41,3.942307692307692
Workers Native,21,2.019230769230769
Workers Foreign born,21,2.019230769230769
Workers Foreign born - Naturalized U.S. citizen,21,2.019230769230769
Workers Foreign born - Not a U.S. citizen,21,2.019230769230769
Speak language other than English,21,2.019230769230769
Workers Median earnings (dollars),85,8.173076923076923
Workers 16 years and over who did not work from home,0,0.0
Total MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2023 INFLATION-ADJUSTED DOLLARS) Population 25 years and over with earnings,85,8.173076923076923
Total MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2023 INFLATION-ADJUSTED DOLLARS) - Population 25 years and over with earnings!!Less than high school graduate,479,46.05769230769231
Tota - MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2023 INFLATION-ADJUSTED DOLLARS) - Population 25 years and over with earnings!!High school graduate (includes equivalency),150,14.423076923076922
Total MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2023 INFLATION-ADJUSTED DOLLARS) - Population 25 years and over with earnings!!Some college or associate's degree,189,18.173076923076923
Total - MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2023 INFLATION-ADJUSTED DOLLARS) - Population 25 years and over with earnings Bachelor's degree,306,29.423076923076923
Total MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2023 INFLATION-ADJUSTED DOLLARS) - Population 25 years and over with earnings!!Graduate or professional degree,443,42.59615384615385
Total Population,0,0.0
Total Disability ,0,0.0
Total Disability  Male,0,0.0
Total Disability Female,0,0.0
Total Disability  With a hearing difficulty,0,0.0
Total Disability  With a vision difficulty,0,0.0
Total Disability  With a cognitive difficulty,0,0.0
Total Disability  With an ambulatory difficulty,0,0.0
Total Disability  With a self-care difficulty,0,0.0
Total Disability With an independent living difficulty,0,0.0
Percent with a disability,12,1.153846153846154
